Vacant −− > Census year: 2018 || Block ID: 54 || Property ID: 105848 || Base property ID: 105848 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.961594 || Y coordinate: -37.813789 || Location: (-37.81379461, 144.9615985) || 
Vacant −− > Census year: 2018 || Block ID: 56 || Property ID: 101208 || Base property ID: 101208 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.967789 || Y coordinate: -37.812649 || Location: (-37.812647, 144.9677865) || 
Vacant −− > Census year: 2018 || Block ID: 44 || Property ID: 108111 || Base property ID: 108111 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.961304 || Y coordinate: -37.815651 || Location: (-37.81565407, 144.9612981) || 
Vacant −− > Census year: 2018 || Block ID: 44 || Property ID: 108111 || Base property ID: 108111 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.961304 || Y coordinate: -37.815651 || Location: (-37.81565407, 144.9612981) || 
Vacant −− > Census year: 2018 || Block ID: 44 || Property ID: 108110 || Base property ID: 108110 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.961182 || Y coordinate: -37.815380 || Location: (-37.81537944, 144.9611759) || 
Vacant −− > Census year: 2018 || Block ID: 44 || Property ID: 108110 || Base property ID: 108110 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.961182 || Y coordinate: -37.815380 || Location: (-37.81537944, 144.9611759) || 
Vacant −− > Census year: 2018 || Block ID: 45 || Property ID: 105961 || Base property ID: 105961 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.964355 || Y coordinate: -37.814739 || Location: (-37.81473585, 144.9643479) || 
Vacant −− > Census year: 2018 || Block ID: 46 || Property ID: 105962 || Base property ID: 105962 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.966782 || Y coordinate: -37.814129 || Location: (-37.81413147, 144.9667753) || 
Vacant −− > Census year: 2018 || Block ID: 54 || Property ID: 105847 || Base property ID: 105847 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.961731 || Y coordinate: -37.813759 || Location: (-37.81376219, 144.9617274) || 
Vacant −− > Census year: 2018 || Block ID: 54 || Property ID: 105843 || Base property ID: 105843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.962173 || Y coordinate: -37.813530 || Location: (-37.8135324, 144.9621709) || 
Vacant −− > Census year: 2018 || Block ID: 93 || Property ID: 108082 || Base property ID: 108082 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.958313 || Y coordinate: -37.810440 || Location: (-37.81043684, 144.9583118) || 
Vacant −− > Census year: 2018 || Block ID: 52 || Property ID: 5885 || Base property ID: 101173 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.956757 || Y coordinate: -37.815510 || Location: (-37.81550948, 144.9567556) || 
Vacant −− > Census year: 2018 || Block ID: 52 || Property ID: 111283 || Base property ID: 636824 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.957397 || Y coordinate: -37.815319 || Location: (-37.81531894, 144.9573905) || 
Vacant −− > Census year: 2018 || Block ID: 53 || Property ID: 101177 || Base property ID: 101177 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.959198 || Y coordinate: -37.814999 || Location: (-37.81499725, 144.9591969) || 
Vacant −− > Census year: 2018 || Block ID: 53 || Property ID: 101177 || Base property ID: 101177 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.959198 || Y coordinate: -37.814999 || Location: (-37.81499725, 144.9591969) || 
Vacant −− > Census year: 2018 || Block ID: 22 || Property ID: 102101 || Base property ID: 110661 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.958923 || Y coordinate: -37.818218 || Location: (-37.81821897, 144.9589234) || 
Vacant −− > Census year: 2018 || Block ID: 43 || Property ID: 101152 || Base property ID: 101152 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.960175 || Y coordinate: -37.815479 || Location: (-37.81547974, 144.9601729) || 
Vacant −− > Census year: 2018 || Block ID: 93 || Property ID: 631819 || Base property ID: 631819 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.956451 || Y coordinate: -37.810959 || Location: (-37.81095501, 144.9564538) || 
Vacant −− > Census year: 2018 || Block ID: 43 || Property ID: 105953 || Base property ID: 105953 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.960114 || Y coordinate: -37.815971 || Location: (-37.81596923, 144.9601098) || 
Vacant −− > Census year: 2018 || Block ID: 4 || Property ID: 104034 || Base property ID: 104034 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.965286 || Y coordinate: -37.818680 || Location: (-37.81868178, 144.9652801) || 
Vacant −− > Census year: 2018 || Block ID: 4 || Property ID: 104034 || Base property ID: 104034 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.965286 || Y coordinate: -37.818680 || Location: (-37.81868178, 144.9652801) || 
Vacant −− > Census year: 2018 || Block ID: 26 || Property ID: 109418 || Base property ID: 109418 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.967422 || Y coordinate: -37.815842 || Location: (-37.81583755, 144.9674252) || 
Vacant −− > Census year: 2018 || Block ID: 26 || Property ID: 109418 || Base property ID: 109418 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.967422 || Y coordinate: -37.815842 || Location: (-37.81583755, 144.9674252) || 
Vacant −− > Census year: 2018 || Block ID: 26 || Property ID: 109418 || Base property ID: 109418 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.967422 || Y coordinate: -37.815842 || Location: (-37.81583755, 144.9674252) || 
Vacant −− > Census year: 2018 || Block ID: 16 || Property ID: 104018 || Base property ID: 104018 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.968536 || Y coordinate: -37.816601 || Location: (-37.81660267, 144.9685353) || 
Vacant −− > Census year: 2018 || Block ID: 4 || Property ID: 103972 || Base property ID: 103972 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.962357 || Y coordinate: -37.819511 || Location: (-37.81951075, 144.962346) || 
Vacant −− > Census year: 2018 || Block ID: 4 || Property ID: 103972 || Base property ID: 103972 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.962357 || Y coordinate: -37.819511 || Location: (-37.81951075, 144.962346) || 
Vacant −− > Census year: 2018 || Block ID: 64 || Property ID: 104669 || Base property ID: 104669 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.961258 || Y coordinate: -37.813389 || Location: (-37.81339479, 144.9612622) || 
Vacant −− > Census year: 2018 || Block ID: 24 || Property ID: 102093 || Base property ID: 102093 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.962006 || Y coordinate: -37.817162 || Location: (-37.81715744, 144.962001) || 
Vacant −− > Census year: 2018 || Block ID: 24 || Property ID: 102091 || Base property ID: 102091 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.962784 || Y coordinate: -37.817200 || Location: (-37.81719909, 144.9627911) || 
Vacant −− > Census year: 2018 || Block ID: 24 || Property ID: 102091 || Base property ID: 102091 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || X coordinate: 144.962784 || Y coordinate: -37.817200 || Location: (-37.81719909, 144.9627911) || 
